id,Ground truth
56,bug fix
2321,bug fix
2148,maintenance/other
2180,feature addition
392,feature addition
26,maintenance/other
301,feature addition
2105,code refactoring
2312,maintenance/other
80,maintenance/other
384,feature addition
2228,feature addition
2275,bug fix
15,feature addition
337,maintenance/other
278,maintenance/other
2088,maintenance/other
2283,code refactoring
225,code refactoring
2185,feature addition
97,code refactoring
2154,bug fix
2166,bug fix
2224,code refactoring
89,maintenance/other
247,bug fix
149,maintenance/other
220,maintenance/other
359,feature addition
2251,code refactoring
4,code refactoring
161,bug fix
164,Not enough inforamtion
214,maintenance/other
2175,bug fix
2229,code refactoring
2167,maintenance/other
61,code refactoring
2260,code refactoring
2138,code refactoring
412,bug fix
223,bug fix
398,feature addition
2181,maintenance/other
2297,code refactoring
76,maintenance/other
2130,maintenance/other
172,Not enough inforamtion
388,maintenance/other
410,maintenance/other
94,maintenance/other
51,code refactoring
2121,code refactoring
12,code refactoring
177,maintenance/other
196,maintenance/other
2193,maintenance/other
274,maintenance/other
73,maintenance/other
363,"feature addition, code refactoring"
2304,bug fix
98,maintenance/other
358,maintenance/other
298,feature addition
240,"code refactoring, bug fix"
2156,feature addition
2266,feature addition
103,code refactoring
30,bug fix
2270,maintenance/other
350,maintenance/other
265,code refactoring
193,Not enough inforamtion
29,maintenance/other
269,feature addition
216,feature addition
327,maintenance/other
2299,maintenance/other
86,Not enough inforamtion
2256,maintenance/other
2084,maintenance/other
2091,code refactoring
2316,feature addition
112,maintenance/other
16,bug fix
22,maintenance/other
413,feature addition
2302,bug fix
2206,bug fix
88,maintenance/other
375,maintenance/other
2205,feature addition
311,maintenance/other
45,feature addition
217,maintenance/other
2250,code refactoring
243,code refactoring
136,maintenance/other
28,maintenance/other
2157,code refactoring
7,feature addition
246,bug fix
409,maintenance/other
277,feature addition
2214,bug fix
2187,code refactoring
77,maintenance/other
2230,code refactoring
41,code refactoring
328,code refactoring
102,code refactoring
